Activity ID	Parameter	Process	Sub-Process	Activity	Standard / Expected Result	Trigger	Frequency	Due Rule	Doer	Checker	Accountable Owner	Priority	Evidence Type	Evidence Required	Dependency / Gate	Automation Rule	Failure Definition	Escalation L1	Escalation L2	Escalation L3	KPI	CAPA Requirement
CON-002	Professional Conduct	People	Conduct	Patient-facing conflict prevention	No staff arguments/unprofessional conduct in patient areas	EVENT	CONTINUOUS	Immediate	All Staff	Manager	Clinic Head	CRITICAL	CONFIRMATION	Incident if breach	Conduct policy	Escalate breach	Conflict in front of patient	Manager	Clinic Head	Owner	Patient-Facing Conduct Incidents	REQUIRED_ON_REPEAT
CON-003	Professional Conduct	People	Conduct	Conduct follow-up	Assigned corrective/coaching action completed	DEADLINE	PER_INCIDENT	By due date	Employee/Manager	Clinic Head	Owner	IMPORTANT	VERIFICATION	Action record	Conduct incident	Overdue escalation	Action overdue	Manager	Clinic Head	Owner	Conduct Action Closure %	REQUIRED_ON_REPEAT
CMP-001	Complaints	Quality	Complaint Management	Register complaint	Every complaint captured with channel/category/severity	EVENT	PER_COMPLAINT	At receipt	Reception/Manager	Clinic Manager	Clinic Head	CRITICAL	SYSTEM	Complaint record		Assign owner/SLA	Complaint unrecorded	Owner	Manager	Clinic Head	Complaint Capture %	REQUIRED_ON_REPEAT
CMP-002	Complaints	Quality	Complaint Management	Acknowledge complaint	Patient acknowledgement within configured SLA	DEADLINE	PER_COMPLAINT	SLA-defined	Complaint Owner	Clinic Manager	Clinic Head	IMPORTANT	SYSTEM	Acknowledgement	Complaint received	SLA alert	Acknowledgement overdue	Owner	Manager	Clinic Head	Complaint Acknowledgement Time	REQUIRED_ON_REPEAT
CMP-003	Complaints	Quality	Complaint Management	Investigate complaint	Facts reviewed and action documented	STATUS_CHANGE	PER_COMPLAINT	Within SLA	Complaint Owner	Clinic Head	Clinic Head	CRITICAL	ATTACHMENT	Investigation	Acknowledged	Escalate serious	Investigation overdue	Owner	Clinic Head	Owner/Director	Complaint Resolution Time	REQUIRED_ON_REPEAT
CMP-004	Complaints	Quality	Complaint Management	Close complaint	Resolution and patient contact documented	DEPENDENCY	PER_COMPLAINT	Within SLA	Complaint Owner	Clinic Head	Clinic Head	IMPORTANT	VERIFICATION	Resolution/contact	Action complete	Close workflow	Closure incomplete	Owner	Clinic Head	Owner	Complaint Closure %	REQUIRED_ON_REPEAT
INC-001	Incidents & CAPA	Quality	Incident/CAPA	Report incident	Safety/quality incident recorded promptly	EVENT	PER_INCIDENT	Immediate	Any Authorized User	Manager/Clinical Director	Clinic Head	PATIENT_SAFETY	SYSTEM	Incident record		Severity routing	Critical incident unreported	Reporter	Manager/Clinical Director	Clinic Head	Incident Reporting Time	REQUIRED_ON_CRITICAL
INC-002	Incidents & CAPA	Quality	Incident/CAPA	Immediate containment	Immediate risk controlled/documented	STATUS_CHANGE	PER_INCIDENT	Immediate	Incident Owner	Clinical Director/Manager	Clinic Head	PATIENT_SAFETY	VERIFICATION	Containment action	Incident reported	Escalate	Containment missing	Owner	Clinical Director	Clinic Head	Containment Time	REQUIRED_ON_CRITICAL
INC-003	Incidents & CAPA	Quality	Incident/CAPA	Root cause analysis	Root cause category and analysis completed	STATUS_CHANGE	PER_INCIDENT	By SLA	Incident Owner	Quality/Clinic Head	Clinic Head	CRITICAL	ATTACHMENT	RCA	Contained	CAPA decision	RCA overdue	Owner	Quality	Clinic Head	RCA Completion %	REQUIRED_ON_REPEAT
INC-004	Incidents & CAPA	Quality	Incident/CAPA	Create CAPA	Required corrective/preventive actions assigned	DEPENDENCY	PER_INCIDENT	After RCA	Quality/Manager	Clinic Head	Owner	CRITICAL	SYSTEM	CAPA record	CAPA required	Create actions	Required CAPA absent	Quality	Clinic Head	Owner	CAPA Initiation %	ALWAYS
INC-005	Incidents & CAPA	Quality	Incident/CAPA	Implement CAPA	Actions completed by due date	DEADLINE	PER_CAPA	Due date	CAPA Owner	Quality/Manager	Clinic Head	CRITICAL	ATTACHMENT	Action evidence	CAPA open	Overdue escalation	CAPA overdue	Owner	Quality	Clinic Head	CAPA On-Time Completion %	ALWAYS
INC-006	Incidents & CAPA	Quality	Incident/CAPA	Effectiveness check	CAPA effectiveness independently assessed	TIME	PER_CAPA	Configured date	Verifier	Clinic Head	Owner	CRITICAL	VERIFICATION	Effectiveness result	Implemented	Close/reopen	Effectiveness overdue/ineffective	Verifier	Clinic Head	Owner	CAPA Effectiveness %	ALWAYS
INC-007	Incidents & CAPA	Quality	Incident/CAPA	Repeat failure detection	Repeated same failure crosses threshold	THRESHOLD	CONTINUOUS	Configured	System	Quality/Manager	Clinic Head	CRITICAL	SYSTEM	Trend alert	Failure taxonomy	Create/recommend incident/CAPA	Repeat threshold exceeded	Quality	Clinic Head	Owner	Repeat Failure Rate	REQUIRED_ON_REPEAT
AUD-001	Weekly/Monthly Audits	Quality	Audit Program	Weekly clinic health audit	Weekly cross-domain audit completed	TIME	WEEKLY	Week end	Clinic Manager	Clinic Head	Owner	IMPORTANT	VERIFICATION	Audit score		Generate audit	Audit overdue	Manager	Clinic Head	Owner	Weekly Clinic Health Score	REQUIRED_ON_REPEAT
AUD-002	Weekly/Monthly Audits	Quality	Audit Program	Monthly operating review	Monthly KPI/exception/CAPA review completed	TIME	MONTHLY	Month end	Clinic Head	Owner/Director	Owner	IMPORTANT	ATTACHMENT	Review record	KPI data	Generate review pack	Review overdue	Clinic Head	Owner	Owner	Monthly Review Compliance %	NONE
AUD-003	Weekly/Monthly Audits	Quality	Audit Program	Infection control audit	Detailed infection-control audit completed	TIME	MONTHLY	Scheduled	Clinical/Quality Lead	Clinical Director	Clinic Head	PATIENT_SAFETY	VERIFICATION	Audit findings		Create findings/CAPA	Major/critical finding	Auditor	Clinical Director	Clinic Head	Infection Control Audit Score	REQUIRED_ON_CRITICAL
AUD-004	Weekly/Monthly Audits	Quality	Audit Program	Equipment audit	Asset status/PM/calibration reviewed	TIME	MONTHLY	Scheduled	Clinic Manager	Clinic Head	Owner	CRITICAL	VERIFICATION	Audit		Create findings	PM/calibration gaps	Manager	Clinic Head	Owner	Equipment Compliance Score	REQUIRED_ON_REPEAT
AUD-005	Weekly/Monthly Audits	Quality	Audit Program	Inventory audit	Critical stock/expiry/variance reviewed	TIME	MONTHLY	Scheduled	Inventory Coordinator	Clinic Manager	Clinic Head	CRITICAL	VERIFICATION	Audit/count		Create variance findings	Material variance/expiry	Inventory	Manager	Clinic Head	Inventory Accuracy %	REQUIRED_ON_REPEAT
AUD-006	Weekly/Monthly Audits	Quality	Audit Program	Audit finding closure	Findings closed by severity-based SLA	DEADLINE	PER_FINDING	SLA-defined	Finding Owner	Auditor/Manager	Clinic Head	CRITICAL	VERIFICATION	Closure evidence	Finding open	Escalate/CAPA	Finding overdue	Owner	Manager	Clinic Head	Audit Finding Closure %	REQUIRED_ON_REPEAT
CLS-001	Closing & Facility	Closing	End-of-Day	Patient/appointment closure	All visits/appointments reconciled at day end	TIME	DAILY	Closing	Reception	Clinic Manager	Clinic Head	IMPORTANT	SYSTEM	Reconciliation		Closing exception	Open/unreconciled visit	Reception	Manager	Clinic Head	Daily Reconciliation %	NONE
CLS-002	Closing & Facility	Closing	End-of-Day	Lab day-end review	All lab dispatch/receipt/status changes recorded	TIME	DAILY	Closing	Lab Coordinator	Clinic Manager	Clinic Head	IMPORTANT	SYSTEM	Status review		Closing exception	Unrecorded lab movement	Coordinator	Manager	Clinic Head	Lab Record Completeness %	NONE
CLS-003	Closing & Facility	Closing	End-of-Day	Stock/critical consumables closing check	Critical shortages identified before next day	TIME	DAILY	Closing	Inventory/Assistant	Clinic Manager	Clinic Head	IMPORTANT	CONFIRMATION	Check	Tomorrow schedule	Alert/PR	Next-day shortage risk	Inventory	Manager	Clinic Head	Next-Day Stock Readiness %	REQUIRED_ON_REPEAT
CLS-004	Closing & Facility	Closing	End-of-Day	Utilities shutdown	Unused AC/lights/fans/equipment switched off safely	TIME	DAILY	Closing	Assigned Staff	Clinic Manager	Clinic Head	ROUTINE	CONFIRMATION	Closing checklist		Generate task	Utility left on	Doer	Manager	Clinic Head	Closing Compliance %	NONE
CLS-005	Closing & Facility	Closing	End-of-Day	Water pump/tank check	Pump safely switched off when tank full/at closing	TIME	DAILY	Closing	Assigned Staff	Clinic Manager	Clinic Head	IMPORTANT	CONFIRMATION	Checklist		Generate task	Pump left on/issue	Doer	Manager	Clinic Head	Facility Compliance %	REQUIRED_ON_REPEAT
CLS-006	Closing & Facility	Closing	End-of-Day	Final clinic lock/security	Required floors/rooms secured and closure recorded	TIME	DAILY	Final closing	Authorized Closing Staff	Clinic Manager	Clinic Head	CRITICAL	SYSTEM	Closure timestamp		Closing workflow	Clinic not secured	Doer	Manager	Clinic Head	Secure Closing %	REQUIRED_ON_REPEAT
